תאריך עדכון,קוד יישוב,שם יישוב,קוד רובע,שם רובע,חולים פעילים,"חולים חדשים ל-10,000 נפש",שיעור בדיקות חיוביות,יחס הכפלה,צבע לפי חישוב יומי,צבע לפי החלטת ממשלה,government_color_next_week,x,y
19/08/2021,635,מוקייבלה,-999,לא רלוונטי,15>,9.699321048,4.8,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,28,מזכרת בתיה,-999,לא רלוונטי,147,75.52169593,4.9,60.6,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,517,מזרעה,-999,לא רלוונטי,15>,22.46630055,5.8,-16.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,649,מייסר,-999,לא רלוונטי,15>,19.44579485,6.5,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,1268,מיתר,-999,לא רלוונטי,63,48.17825956,3.5,29.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,4203,מסעדה,-999,לא רלוונטי,15>,0,0,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,939,מסעודין אל-עזאזמה,-999,לא רלוונטי,15>,2.80457707,3.6,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,1082,מעגלים,-999,לא רלוונטי,15>,33.88189739,5.6,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,694,מעגן מיכאל,-999,לא רלוונטי,15>,33.67003367,2.2,-16.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,518,מעיליא,-999,לא רלוונטי,15>,9.244992296,0.8,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3616,מעלה אדומים,-999,לא רלוונטי,263,53.96539866,5.9,39.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1327,מעלה עירון,-999,לא רלוונטי,32,16.285584,6,66.7,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1327,מעלה עירון,-999,לא רלוונטי,32,16.285584,6,66.7,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1063,מעלות-תרשיחא,-999,לא רלוונטי,148,52.35129524,6.3,18.4,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3576,מצפה יריחו,-999,לא רלוונטי,30,105.2631579,7.7,170,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
